"month","unique_carrier","carrier_name","sdomt_gallons","satl_gallons","spac_gallons","slat_gallons","sint_gallons","ts_gallons","tdomt_gallons","tint_gallons","total_gallons","sdomt_cost","satl_cost","spac_cost","slat_cost","sint_cost","ts_cost","tdomt_cost","tint_cost","total_cost","year"
2,"NC","Northern Air Cargo Inc.",255741,0,0,0,0,255741,282780,0,282780,550182,0,0,0,0,550182,602185,0,602185,2019
2,"NK","Spirit Air Lines",29560076,0,0,4030920,4030920,33590996,29560076,4030920,33590996,62838607,0,0,8568901,8568901,71407508,62838607,8568901,71407508,2019
2,"OH","PSA Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"OO","SkyWest Airlines Inc.",7503491,0,0,0,0,7503491,7503491,0,7503491,17050445,0,0,0,0,17050445,17050445,0,17050445,2019
2,"PFQ","Asia Pacific",0,0,0,0,0,0,0,355981,355981,0,0,0,0,0,0,0,735012,735012,2019
2,"PO","Polar Air Cargo Airways",2080351,470893,9936241,0,10407134,12487485,2080351,10407134,12487485,4008576,1039859,17494774,0,18534633,22543209,4008576,18534633,22543209,2019
2,"QX","Horizon Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"SY","Sun Country Airlines d/b/a MN Airlines",3730042,0,0,1725278,1725278,5455320,4229974,1836456,6066430,8041181,0,0,4024835,4024835,12066016,9890673,4266112,14156785,2019
2,"U7","USA Jet Airlines Inc.",0,0,0,0,0,0,482752,32144,514896,0,0,0,0,0,0,952822,134969,1087791,2019
2,"UA","United Air Lines Inc.",119312158,47970572,47881165,28457222,124308959,243621117,120087215,124665157,244752372,229838806,91564050,91129457,58249915,240943422,470782228,231327828,241611991,472939819,2019
2,"WI","Sky Lease Cargo",0,0,0,0,0,0,0,982250,982250,0,0,0,0,0,0,0,2064254,2064254,2019
2,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",0,0,0,0,0,0,26298,0,26298,0,0,0,0,0,0,69192,0,69192,2019
2,"X9","Omni Air International LLC",0,0,0,0,0,0,370322,3235578,3605900,0,0,0,0,0,0,824611,8179604,9004215,2019
2,"XP","XTRA Airways",0,0,0,0,0,0,2851,0,2851,0,0,0,0,0,0,9832,0,9832,2019
2,"YV","Mesa Airlines Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
2,"YX","Republic Airline",41318,0,0,0,0,41318,41318,0,41318,85698,0,0,0,0,85698,85698,0,85698,2019
2,"WN","Southwest Airlines Co.",146808596,0,0,1759751,1759751,148568347,146910807,1759751,148670558,289139878,0,0,4222874,4222874,293362752,289336674,4222874,293559548,2019
3,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",0,0,0,0,0,0,796100,626848,1422948,0,0,0,0,0,0,2721022,1852717,4573739,2019
3,"0WQ","Avjet Corporation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",0,0,0,0,0,0,7775,19521,27296,0,0,0,0,0,0,17961,45093,63054,2019
3,"27Q","Jet Aviation Flight Services, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"2HQ","Elite Airways LLC",72228,0,0,0,0,72228,380854,0,380854,197885,0,0,0,0,197885,1466979,0,1466979,2019
3,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",313346,0,0,0,0,313346,375331,0,375331,901770,0,0,0,0,901770,1080156,0,1080156,2019
3,"5X","United Parcel Service",39076000,11813000,16555000,2772000,31140000,70216000,39076000,31140000,70216000,78171000,23391000,32977000,5885000,62253000,140424000,78171000,62253000,140424000,2019
3,"5Y","Atlas Air Inc.",0,0,0,0,0,0,15305509,35370667,50676176,0,0,0,0,0,0,33606169,80421617,114027786,2019
3,"8C","Air Transport International",0,0,0,0,0,0,9158,693883,703041,0,0,0,0,0,0,26141,1602941,1629082,2019
3,"9E","Endeavor Air Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
3,"9S","Southern Air Inc.",1132125,2270891,4202599,11610,6485100,7617225,1132125,6485100,7617225,2452661,5438549,9316333,23597,14778479,17231140,2452661,14778479,17231140,2019
3,"AA","American Airlines Inc.",193300520,39602165,18989484,49281517,107873166,301173686,193844696,108126311,301971007,377335558,78539440,37331130,100988984,216859554,594195112,378410499,217383476,595793975,2019
3,"ABX","ABX Air Inc",134567,0,0,0,0,134567,134567,0,134567,0,0,0,0,0,0,0,0,0,2019
3,"AS","Alaska Airlines Inc.",59205964,0,0,1342907,1342907,60548871,59266999,1342907,60609906,131021319,0,0,3487341,3487341,134508660,131141759,3487341,134629100,2019
3,"B6","JetBlue Airways",60110558,0,0,16281212,16281212,76391770,60118439,16281212,76399651,128192313,0,0,34721459,34721459,162913772,128209025,34721459,162930484,2019
