"seats","passengers","distance","unique_carrier","year","month","class"
0,0,3680,"5X",2019,11,"G"
525,494,930,"WN",2018,5,"F"
2520,2102,550,"G4",2018,8,"F"
0,0,1488,"FX",2019,8,"G"
2036,1163,5879,"LH",2019,10,"F"
4560,3988,871,"YV",2018,5,"F"
76,74,482,"OH",2018,10,"F"
0,0,79,"5V",2019,1,"G"
228,137,690,"YX",2018,10,"F"
4140,2865,292,"OO",2019,6,"F"
4550,4060,1747,"NK",2019,9,"F"
2508,1381,296,"MQ",2019,11,"F"
24,10,990,"27Q",2019,1,"L"
4150,3264,227,"AX",2018,8,"F"
1790,1224,329,"UA",2019,8,"F"
100,93,187,"UP",2019,7,"F"
1958,1856,873,"AS",2019,3,"F"
143,76,1214,"WN",2019,9,"F"
4650,4055,1476,"F9",2019,5,"F"
0,0,1613,"FX",2019,4,"G"
0,0,4308,"CK",2018,4,"G"
135,45,130,"8E",2018,6,"F"
3168,2945,926,"OO",2019,6,"F"
1770,1575,692,"G4",2019,10,"F"
0,0,335,"5Y",2019,8,"P"
1117,810,1693,"DL",2018,1,"F"
175,59,228,"WN",2018,8,"F"
2832,2462,1005,"G4",2018,12,"F"
6918,6313,1721,"UA",2018,7,"F"
8294,7316,554,"WN",2018,7,"F"
10614,8879,3870,"UA",2018,6,"F"
0,0,829,"5X",2018,11,"G"
0,0,3110,"PO",2018,5,"P"
1400,1234,723,"WN",2018,11,"F"
4004,3158,1105,"WN",2019,9,"F"
132,130,991,"DL",2019,10,"F"
146,78,1315,"AC",2019,8,"F"
0,0,490,"FX",2018,1,"G"
4836,3922,735,"G4",2019,11,"F"
513,179,53,"VI",2019,11,"F"
0,0,1416,"FX",2018,5,"G"
7579,5544,480,"WN",2019,11,"F"
6,1,127,"H6",2018,5,"L"
19511,17105,2227,"UA",2019,11,"F"
22650,18263,331,"AA",2019,12,"F"
18,6,38,"H6",2018,4,"L"
76,31,804,"OO",2018,8,"F"
0,0,855,"U7",2019,6,"P"
1116,952,985,"F9",2018,10,"F"
6,0,56,"H6",2019,7,"L"
9,0,147,"H6",2019,3,"F"
30,3,68,"H6",2018,6,"L"
2429,2154,559,"CP",2018,10,"F"
4331,3528,258,"9E",2019,7,"F"
7350,6834,1416,"UA",2019,8,"F"
8126,6882,4272,"SK",2019,8,"F"
4800,4395,1678,"DL",2018,4,"F"
2509,1876,2140,"Y4",2018,5,"F"
0,0,1188,"5X",2018,1,"G"
1089,929,875,"G4",2019,6,"F"
1500,1315,646,"AA",2018,12,"F"
2052,1670,566,"9E",2018,10,"F"
6612,4758,862,"NK",2018,1,"F"
12,0,837,"14Q",2019,7,"L"
0,0,1448,"CI",2019,2,"G"
2519,1946,950,"DL",2018,6,"F"
179,123,1092,"UA",2018,10,"F"
0,0,5081,"FX",2018,6,"G"
6,0,22,"H6",2018,1,"L"
3738,3104,909,"AS",2019,1,"F"
0,0,3799,"KE",2019,11,"G"
0,0,1436,"5X",2019,6,"G"
180,175,1439,"DL",2019,5,"F"
4450,3334,166,"EV",2018,7,"F"
72,34,35,"H6",2018,4,"F"
744,426,477,"F9",2018,12,"F"
3192,2750,534,"YV",2018,8,"F"
0,0,4118,"KAQ",2019,11,"P"
0,0,3032,"KE",2018,11,"G"
0,0,972,"GFQ",2018,6,"P"
14,4,3882,"VJT",2019,7,"L"
13680,11666,854,"NK",2018,8,"F"
4654,3282,472,"UA",2018,4,"F"
8,4,47,"4B",2018,8,"F"
9,0,52,"7S",2019,4,"G"
990,853,1010,"DL",2019,11,"F"
160,135,544,"AA",2018,12,"F"
150,129,925,"AA",2019,4,"F"
128,109,205,"AA",2018,12,"F"
6384,5555,1184,"OO",2018,6,"F"
7068,6551,834,"CP",2019,8,"F"
0,0,3799,"5X",2019,1,"G"
180,164,1145,"DL",2018,11,"F"
378,295,837,"UA",2018,8,"F"
10579,7683,550,"AS",2018,10,"F"
28000,25794,1491,"WN",2018,7,"F"
5265,4046,562,"OH",2019,9,"F"
574,480,3265,"VS",2019,11,"F"
2204,1848,191,"OH",2019,7,"F"
143,55,151,"WN",2019,2,"F"
2262,1668,2835,"AD",2018,9,"F"
18,9,56,"H6",2018,3,"L"
3150,2714,972,"WN",2019,2,"F"
199,164,2519,"DL",2019,4,"F"
216,205,289,"3E",2018,10,"F"
76,49,220,"OO",2018,9,"F"
498,473,1458,"UA",2019,5,"F"
325,262,659,"EV",2018,9,"F"
3550,2512,122,"ZW",2019,1,"F"
150,139,2274,"B6",2018,10,"F"
2600,2005,166,"9E",2019,12,"F"
172,85,565,"GL",2018,1,"L"
175,169,351,"WN",2018,5,"F"
0,0,381,"FX",2019,1,"G"
4960,4385,1770,"DL",2018,8,"F"
1242,764,1012,"YX",2018,1,"F"
27,0,95,"7S",2019,1,"G"
4650,4063,2381,"B6",2018,5,"F"
100,38,451,"OO",2018,1,"F"
2143,2001,1019,"WS",2019,8,"F"
1976,1727,622,"9E",2019,3,"F"
42,8,116,"GV",2019,7,"F"
13864,13339,4406,"AA",2019,10,"F"
9,4,95,"H6",2019,1,"L"
754,384,318,"7H",2019,4,"F"
5580,4049,228,"DL",2018,10,"F"
3000,2742,2119,"4O",2019,10,"F"
157,129,862,"DL",2018,12,"L"
378,358,2390,"UA",2019,8,"F"
320,153,588,"DL",2018,4,"F"
189,123,557,"SY",2018,3,"L"
2103,1692,2319,"TA",2019,12,"F"
8151,7283,957,"WN",2018,10,"F"
9,0,388,"7S",2019,7,"L"
8960,7932,1158,"AA",2018,5,"F"
36,26,70,"J5",2019,6,"F"
16,2,3934,"LXQ",2018,9,"L"
2356,2119,605,"QX",2019,8,"F"
6,0,114,"KAH",2019,2,"L"
50,49,337,"PT",2018,5,"F"
450,210,53,"1YQ",2018,6,"F"
8,5,339,"LF",2019,11,"L"
63,28,39,"H6",2018,11,"F"
50,43,334,"OO",2018,7,"F"
